"ID","Table"
"70","['18','37','32','10','15','5','21','53','53']""68","['39','11','48','34','41','33','22','31','51','52']"
"69","['25','66','32','52','25','11','27','63','55','68']""67","['35','50','32','44','34','30','62','57','47','65']"
"66","['13','61','17','5','23','40','15','58','7','9']""65","['28','60','69','60','19','12','45','18','8','9']"
"64","['17','37','23','6','31','22','65','57','1','69']""62","['10','59','53','5','5','66','25','5','16','8']"
"63","['21','35','57','29','27','50','51','46','3','61']""61","['53','36','27','60','55','63','19','17','57','68']"
"60","['17','19','57','13','27','22','15','70','46','8']""59","['12','50','64','34','4','4','45','29','24','8']"
"57","['32','22','60','12','19','25','31','4','34','61']""58","['2','54','45','35','35','36','3','43','17','68']"
"56","['15','32','2','40','47','57','65','5','18','68']""55","['1','62','61','67','30','14','37','59','11','8']"
"54","['30','50','33','19','42','11','19','59','63','67']""52","['27','5','35','4','56','22','33','51','68']"
"53","['41','29','25','60','37','21','18','70','8']""51","['5','21','23','24','55','5','37','53','17','60']"
"50","['37','53','30','35','38','31','55','40','67','68']""49","['29','68','14','17','43','62','61','70','35','70']"
"48","['59','36','14','31','43','1','21','41','31','68']""47","['50','17','28','1','53','68','54','31','35','70']"
"46","['35','27','19','20','27','14','55','19','42','58']""44","['14','22','30','60','59','33','20','30','6','66']"
"45","['51','53','11','55','26','52','2','28','1','63']""43","['57','38','17','12','32','16','61','13','42','61']"
"42","['46','10','47','4','52','33','23','58','44','63']""41","['48','61','45','24','20','62','17','11','3','65']"
"40","['16','51','3','37','29','35','14','37','5','7']""39","['11','26','54','69','31','12','31','62','29','70']"
"38","['12','15','1','57','29','35','26','52','14','62']""35","['33','26','31','37','54','44','22','18','55']"
"37","['24','36','67','14','60','20','10','45','45','9']""33","['52','68','21','37','22','47','11','45','69']"
"34","['25','5','66','64','16','48','54','51','66','69']""28","['51','52','20','63','40','42','1','45','24','9']"
"32","['44','18','30','41','10','29','5','66','39','68']""27","['51','42','57','25','29','32','69','30','38','7']"
"31","['25','46','60','52','13','30','17','28','59','68']""24","['46','7','4','27','62','62','42','63','32','8']"
"22","['28','2','17','48','2','32','39','39','36','48']""36","['11','67','38','30','20','16','21','68','48','9']"
"19","['51','17','2','46','2','48','63','6','27','67']""16","['37','35','68','22','48','12','20','69','13','69']"
"30","['25','67','47','27','31','49','36','51','52','7']""14","['20','64','28','39','10','38','46','12','37','8']"
"29","['65','22','41','3','55','55','39','26','60','68']""26","['39','31','59','13','41','24','10','39','25','63']"
"25","['26','32','3','12','19','7','26','26','8']""23","['18','12','44','10','45','37','48','26','40','8']"
"20","['1','13','46','67','68','30','25','38','67','9']""21","['40','23','52','5','19','29','1','32','11','68']"
"17","['52','42','26','26','47','68','50','49','60','69']""15","['67','19','11','61','3','11','30','53','9']"
"18","['40','48','70','10','15','50','27','56','25','8']""13","['39','33','63','7','46','66','18','35','17','7']"
"11","['45','32','61','45','25','66','10','56','36','8']""12","['26','49','44','14','34','1','44','22','9']"
"10","['39','19','45','15','55','38','40','13','48','8']""8","['38','65','37','43','37','4','50','61','31','9']"
"9","['60','59','43','17','45','18','19','12','65','66']""7","['20','3','64','2','68','70','16','8','55','8']"
"6","['16','56','33','1','31','57','12','52','43','70']""5","['51','32','48','62','37','40','60','25','65','7']"
"3","['45','27','24','29','53','38','58','60','22','8']""4","['21','10','43','65','61','60','24','17','18','70']"
"2","['52','39','49','58','33','23','62','59','55','67']""1","['11','44','68','15','64','35','55','64','19','68']"
"70","['29','33','6','61','21','4','65']""69","['52','47','42','17','68']"
"68","['19','15','1','64']""67","['51','52','23','39','2','55']"
"66","['30','22','33','44','45','43','60','9','40']""65","['9','91','97','100','45','3','41','8']"
"64","['37','23','31','57','1','25','49','63','52','6']""63","['53','2','23','58','39','24','26','59']"
"62","['10','43','37','89','77','14','52','57','26','5']""61","['35','25','42','12','32','38','43']"
"59","['8','9','60','94','74','93','81','75','96']""58","['35','3','17','61','19','27','14','27','46','54']"
"60","['17','15','50','4','55','51','19']""57","['32','22','12','4','61','55','68','66','17','60']"
"56","['15','32','47','57','18','35','43','58','35','65']""55","['83','91','37','33','39','51','2','67','61']"
"54","['45','83','75','74','46','35','19','61','58','63']""53","['29','25','18','8','55','67','13','21','41','60']"
"50","['35','31','100','88','84','78','98','94','93','37']""51","['21','23','24','5','60','57','8','27','37','53']"
"52","['4','56','22','33','51','2','40','69','5','68']""49","['14','17','62','35','10','13','32','24','5','68']"
"47","['1','70','86','100','91','73','96','71','84','35']""48","['36','31','68','53','17','39','32','28','22','43']"
"46","['35','20','27','19','42','58','60','36','48','55']""45","['51','83','85','86','78','90','36','27','3','53']"
"44","['14','20','30','6','66','35','27','56','58','60']""43","['57','17','61','21','38','32','25','12','61']"
"42","['10','4','33','44','63','1','29','50','57','47']""40","['75','91','93','64','60','22','9','33','66','16']"
"41","['48','24','20','17','11','51','88','93','13','61']""39","['11','94','96','78','84','87','50','47','54','26']"
"38","['12','15','1','29','62','37','81','99','75','35']""37","['36','20','10','45','45','66','17','18','65','60']"
"35","['26','31','22','55','46','62','50','1','73','44']""36","['11','67','38','20','48','52','45','14','24','68']"
"34","['25','64','16','48','51','33','76','21','37','66']""32","['44','18','30','39','68','1','14','31','10','5']"
"33","['52','68','22','47','45','87','91','82','17','69']""30","['25','47','27','31','52','57','32','2','16','67']"
"31","['25','30','17','28','68','32','66','29','10','60']""19","['46','2','69','78','55','51','63']"
"24","['4','27','62','63','32','31','37','9','38','7']""14","['39','38','46','12','37','24','42','43','4','64']"
"29","['22','3','55','26','60','68','52','46','59','65']""17","['26','26','50','49','69','13','16','12','86','60']"
"8","['9','3','100','97']""12","['44','44','22','9','15','11','53','30','26','49']"
"10","['39','19','40','13','8','66','11','36','61','45']""6","['1','39','69','12','25','23','37','63','64','31']"
"28","['51','40','42','1','45','19','59','12','37','63']""3","['45','24','53','22','8','20','55','7','16','60']"
"2","['49','58','33','59','67','48','27','73','80','62']""27","['42','25','29','38','7','70','8','68','55','69']"
"25","['12','26','26','8','61','10','28','65','14','26']""26","['13','39','25','28','78','54','84','94','41']"
"23","['18','12','10','26','8','25','3','20','7','48']""22","['2','2','39','36','48','50','21','59','67','48']"
"20","['1','13','46','30','38','9','16','21','28','67']""21","['23','19','29','1','11','55','41','39','55','32']"
"18","['10','50','27','25','8','23','32','45','19','56']""16","['35','22','54','11','60','91','40','68']"
"9","['37','37','15','65']""15","['19','61','3','11','9','36','68','25','20','67']"
"13","['39','63','35','17','30','64','20','36','49','66']""11","['45','32','45','25','8','44','37','15','48','56']"
"7","['37','25','5','65']""5","['32','48','31','10','62']"
"1","['11','44','35','55','5','40','52','19','64','64']""4","['10','43','24','17','18','12','57','53','25','60']"
"69","['1','70','7','42','25','27','91']""70","['3','8','91','29','82','99','81','85','4']"
"68","['62','45','60','54','22','16','63']""67","['32','1','20','68','19','9','15','55']"
"65","['37','5','25','7']""64","['46','12','64','40','55','1','52']"
"66","['44','72','33','34','20','39','49','63','13','45']""63","['2','40','28','96','100','82','74','97']"
"62","['27','48','49','10','31','5','57']""61","['33','87','86','79','96']"
"60","['53','10','4','57']""59","['60','74','75','26','24','23','39','63','94']"
"58","['17','27','93','11','90','82','81','78','90','3']""57","['22','12','61','68','60','15','51','19','2','32']"
"55","['19','20','86','97','1','9','67','2']""56","['61','70','37','15','45','11','18']"
"54","['75','74','46','19','58','96','2','81','8','83']""53","['99','5','37','36','78','45','55']"
"52","['22','69','68','15','85','91','83','87','80','5']""44","['20','58','60','53','55','46','26','35','30']"
"51","['21','23','60','57','27','50','29','66','6','24']""42","['4','33','29','47','96','90','98','94','44']"
"41","['93','32','89','76','25','13','39','26','48']""50","['88','84','78','98','94','66','10','65','20','31']"
"40","['33','37','20','5','79','87','85','96','72','64']""49","['32','51','12','99','95','86','96','78','14']"
"39","['96','87','50','47','26','42','45','31','55','11']""48","['10','67','2','22','91','85','81','77','95']"
"38","['12','1','62','37','35','47','46','86','31','29']""37","['36','45','60','93','100','35','50','56','45']"
"47","['100','73','55','26','57','50','63','42','91']""35","['50','96','70','81','99','75','15','38','62']"
"46","['35','27','58','48','55','39','67','38','31','42']""34","['7','86','94','100','75','97','73','48']"
"32","['30','39','1','31','19','41','21','44']""45","['27','3','41','8','66','61','36','10','85']"
"43","['48','97','88','71','100','80','32']""36","['68','49','4','20','77','92','72','82','73','48']"
"33","['52','22','45','82','69','15','42','19','91','68']""31","['60','69','23','12','76','77','78','72','82']"
"30","['25','31','2','16','67','54','94','39','80','52']""22","['2','50','59','32','78','71','82','88','71','36']"
"24","['4','62','37','38','7','65','5','25','32','63']""28","['45','19','59','37','63','69','55','35','93','51']"
"29","['22','68','52','46','65','45','15','56','38','55']""19","['46','78','51','26','58','45','54','59','55','63']"
"17","['26','12','25','31','87','88','81','72','76','49']""27","['29','8','68','55','69','64','33','47','87','38']"
"15","['3','11','36','25','67','21','47','23','28','61']""13","['17','30','64','36','66','16','37','76','71','35']"
"26","['41','65','61','14','21','71','28']""25","['12','8','10','28','94','39','78','13','54','26']"
"11","['32','25','44','48','56','47','35','10','8','45']""23","['12','25','3','20','48','36','43','22','61','26']"
"21","['23','1','11','55','55','5','89','68','52','29']""20","['13','38','9','16','67','27','57','18','51','46']"
"18","['23','32','45','19','56','57','6','58','27','50']""16","['11','91','40','13','14','20','5','36','60','35']"
"14","['38','37','43','4','64','15','70','68','49','39']""12","['15','11','53','30','26','35','42','10','68','44']"
"10","['39','19','13','11','45','60','90','83','86','40']""9","['37','15','65','59','26','29','60','3','37']"
"7","['27','9','24','15','37','65']""8","['3','100','97','80','79','77','90','81','9']"
"5","['32','31','10','62','2','37','40','33','46','48']""6","['39','25','37','63','64','80','57','10','66','1']"
"4","['53','25','3','26','82','99','70','43']""2","['77','72','92','83','86','20','9','55','67']"
"3","['60','86','29','28','78','90','82','58','45']""1","['11','35','5','52','19','62','14','42','24','44']"
"70","['8','91','81','85','12','18','20','60','57','29']""69","['1','7','42','25','27','91','70']"
"67","['97','36','90','83','77','86','2','15']""68","['74','28','82','45','19','91','42','69','33','54']"
"66","['34','49','10','27','81','99','75','74','72']""65","['27','24','7','9']"
"64","['52','85','87','91','33','79','40']""63","['37','55','54','46','19','59']"
"62","['57','60','51','10','38','81','99','50','35','49']""61","['33','96','74','28','47','3','67','15','86']"
"60","['2','19','15','31','73','77','82','85','94']""59","['60','74','26','24','23','39','63','94','75']"
"58","['27','93','11','81','90','22','55','8','7','17']""57","['49','10','48','53','4','31','41','62']"
"56","['18','58','19','11','95','80','98','93','76','70']""54","['96','8','83','91','42','28','68','75']"
"53","['91','75','84','76','92','96']""52","['32','37','31','46','2','16','67','30','15']"
"55","['51','99','36','46','15','56','29','19']""51","['57','29','4','25','35','69','37','59','28','60']"
"50","['84','20','23','69','57','56','18','94']""48","['25','92','37','46','33','5','96']"
"49","['12','95','70','100','25','31','76','17','32']""47","['100','55','26','57','50','63','42','91','73']"
"46","['39','38','31','30','18','67']""45","['85','8','78','58','3','90']"
"44","['2','26','35','62','5','1','60']""43","['80','68','22','71','70','82','99','3','4','97']"
"42","['98','94','58','53','35','48','46','4']""41","['13','48','79','82','83','84','82','88','32']"
"39","['47','42','32','25','15','43','49','64','14','50']""40","['37','20','60','83','85','33','64','5']"
"37","['78','89','89','15','37','60','9','35']""38","['29','79','81','98','47','87','68','27','31']"
"35","['32','5','37','17','40','16','70']""36","['4','73','94','7','82','78','71','2','22','77']"
"33","['22','45','82','15','68','16','40','62','97','52']""34","['73','79','98','89','90','72','75']"
"30","['25','94','39','46','35','26','55','44','69','31']""31","['60','12','72','88','65','66','50','78']"
"29","['55','23','8','60','18','91','38']""32","['57','33','71','97','100','88','43','19']"
"28","['95','77','66','14','65','21','26','63']""26","['45','94','8','25','20','22','61','23','71']"
"27","['55','69','64','33','38','73','37','99','94','8']""24","['5','32','50','21','23','51','100','60','62']"
"25","['28','78','13','54','26','14','93','80','61','12']""23","['48','88','79','89','100','74','28','19','10','25']"
"22","['50','32','88','71','36','68','89','48','34','59']""21","['55','5','89','68','52','29','12','53','47','11']"
"20","['9','57','51','82','79','78','88','75','90','38']""19","['63','25','38','22','46','36','56','55','45']"
"16","['11','14','20','36','60','96','64','62','13','91']""18","['32','45','19','6','58','77','82','98','10','27']"
"17","['12','87','81','78','8','55','27','11','58','26']""15","['78','86','67','37','31','16','52','21']"
"14","['39','71','85','81','51','99','86','26','4']""13","['66','16','76','71','35','75','15','61','27','30']"
"12","['11','30','10','68','44','31','32','41','39','53']""11","['35','10','50','87','96','39','37','41','44']"
