"ID","Table"
"72","['23','37','32','63','61','57','58','44','23','8']"
"70","['71','60','36','10','6','17','58','3','62','72']"
"71","['6','40','58','40','11','62','1','51','18','7']"
"69","['20','42','54','29','3','50','26','2','65']"
"68","['7','55','69','64','32','43','38','70','39','8']"
"67","['25','31','65','36','1','43','67','15','7']"
"66","['14','11','16','51','38','1','13','14','46','69']"
"60","['10','54','6','31','62','65','61','63','64','70']"
"65","['5','2','42','54','3','29','50','20','26','69']"
"64","['57','50','54','14','24','61','2','43','69']"
"63","['13','38','35','51','42','29','20','4','4','61']"
"51","['65','26','13','64','29','27','33','50','22','68']"
"61","['33','51','40','21','11','3','17','34','51','53']"
"62","['60','39','32','27','35','22','11','6','15','72']"
"59","['14','48','4','64','14','52','67','25','58','8']"
"58","['35','62','7','35','19','56','71','30','12','71']"
"57","['31','25','60','43','35','61','37','36','31','67']"
"56","['16','57','37','62','12','6','40','62','15','70']"
"55","['2','2','36','56','42','35','42','15','50','72']"
"53","['48','31','39','58','2','44','37','65','64','71']"
"54","['39','62','26','54','30','58','60','59','9']"
"52","['36','35','19','41','12','51','36','44','3','51']"
"50","['30','58','46','26','13','22','12','60','60','67']"
"49","['50','43','48','45','23','5','29','42','4','58']"
"48","['70','70','1','69','15','14','30','42','68','8']"
"47","['14','55','21','17','65','25','31','20','40','70']"
"46","['16','19','33','5','16','54','33','22','20','63']"
"45","['3','2','3','10','44','62','56','66','33','72']"
"44","['17','33','45','63','64','19','27','65','67','69']"
"43","['20','65','20','25','70','60','52','33','49','72']"
"39","['48','64','43','43','7','50','34','38','49','8']"
"41","['21','36','21','48','37','31','46','48','7','70']"
"42","['18','51','46','25','51','29','57','22','59','72']"
"40","['27','71','13','42','57','36','50','15','9']"
"38","['17','52','32','13','63','60','36','35','55','64']"
"37","['39','32','18','14','59','59','20','18','67','8']"
"36","['10','10','42','64','9','15','59','63','68','9']"
"35","['32','20','23','64','13','39','57','3','46','7']"
"34","['6','2','57','22','12','16','58','28','25','71']"
"33","['65','68','30','41','61','18','61','27','63','8']"
"32","['7','29','63','64','51','42','47','12','1','9']"
"31","['4','65','54','45','63','33','15','6','22','9']"
"29","['57','10','6','32','31','4','37','26','16','70']"
"27","['71','35','58','24','45','5','14','16','17','72']"
"28","['3','57','42','23','1','11','14','21','27','8']"
"30","['35','34','4','3','31','34','23','67','67','68']"
"26","['64','22','10','47','61','43','42','53','50','68']"
"15","['35','62','44','69','16','68','52','39','19','72']"
"25","['3','50','50','1','67','45','34','34','67','8']"
"23","['4','49','54','48','41','42','5','67','20','7']"
"24","['14','64','57','23','64','3','42','28','33','68']"
"22","['55','6','50','10','51','54','16','54','44','9']"
"21","['36','26','26','63','65','46','6','48','67']"
"20","['60','32','51','15','65','34','63','70','19','8']"
"19","['67','70','24','39','14','10','27','37','16','9']"
"18","['64','23','55','1','29','19','35','43','21','69']"
"17","['27','3','51','20','32','15','72','3','63','72']"
"14","['4','28','31','28','52','27','13','72','51','9']"
"16","['21','12','13','51','19','44','51','13','27','9']"
"13","['33','1','32','57','48','14','3','16','8']"
"12","['43','28','27','22','56','62','30','39','44','68']"
"10","['36','31','72','28','70','9','53','62','7','9']"
"11","['49','3','44','3','17','27','45','1','56','72']"
"9","['28','21','27','12','19','44']"
"8","['16','14','32','33','1','3','57']"
"7","['41','4','42','5','49','48','54']"
"6","['5','43','7','34','33','61','27','31','51','70']"
"5","['59','67','42','15','46','67','32','11','37','8']"
"4","['32','28','61','54','25','10','68','68','37','69']"
"3","['41','29','58','62','65','14','56','25','36','67']"
"2","['41','28','31','47','47','63','25','1','68','7']"
"1","['66','39','70','36','43','53','32','29','20','71']"
"72","['3','49','1','17','44','11','56']"
"71","['86','80','85','75','100','76','74','98']"
"70","['43','5','27','61','34','33','7']"
"69","['37','61','10','32','25','68']"
"67","['87','85','96','73','95','83','99']"
"68","['22','39','27','56','44','43','12','62']"
"66","['14','5','49','9','52','34','5','28','38','51']"
"65","['20','11','14','66','38','1','16','13','26','42']"
"63","['76','90','96','78','81','79','83','97']"
"64","['52','17','32','60','13','35','55','38','63']"
"62","['92','74','93','85','86','75','97','87','73','99']"
"61","['13','38','20','4','4','35','29','37','63']"
"60","['33','19','40','32','69','67','53','69','23','61']"
"59","['14','68','7','70','39','38','55','32','4','64']"
"58","['45','23','5','29','4','49','50']"
"57","['14','33','3','16','32','8']"
"55","['2','35','22','6','32','27','11','36','15','42']"
"56","['44','11','49','17','3','1','72']"
"54","['41','5','48','4','49','7']"
"52","['90','95','79','78','83','74','94','87','89','99']"
"53","['40','11','51','33','51','3','17','21','61']"
"51","['36','49','28','14','5','34','38','5']"
"49","['68','62','69','59','35','40','26','52','45','48']"
"50","['31','90','100','93','84','94','86','82','97','98']"
"47","['14','12','16','15','56','57','62','21','17','70']"
"48","['25','4','58','67','52','59','15','30','14','70']"
"46","['16','53','3','21','11','42','4','17','40','33']"
"40","['54','59','58','60','62','39','54','26','13','71']"
"43","['20','10','3','62','2','44','3','42','20','70']"
"45","['3','56','50','42','36','42','3','10','2','62']"
"37","['18','34','43','43','49','7','50','64','39','59']"
"44","['19','28','21','12','9']"
"36","['10','59','71','13','27','57','54','63','10','68']"
"39","['79','82','87','76','88','77','92','91','93','93']"
"42","['35','27','32','22','36','2','15','55','6']"
"34","['86','89','85','77','90','96']"
"35","['3','36','67','67','25','65','31','15','43','46']"
"38","['29','54','43','42','3','61','57','26','65','36']"
"33","['41','39','67','32','59','43','20','27','61','61']"
"41","['21','46','48','25','55','20','65','17','37','7']"
"31","['95','90','89','80','84','87','98']"
"32","['29','10','10','68','42','51','64','63','1','7']"
"30","['34','29','51','27','65','13','50','33','26','67']"
"27","['17','18','22','29','57','59','51','46','58','72']"
"28","['14','63','30','65','68','61','61','23','1','42']"
"29","['10','21','36','48','48','7','41','16','26','31']"
"26","['34','30','67','3','35','4','23','31','34','50']"
"25","['85','82','89','86','88','90']"
"24","['42','10','22','47','53','34','61','43','3','64']"
"23","['20','57','39','13','46','64','54','41','4','7']"
"22","['85','93','82','94','77','73','91','74','84','54']"
"20","['50','67','74','79','76','77','90','92','88','93']"
"21","['26','50','31','60','22','12','30','13','48','65']"
"19","['16','51','55','44','50','14','67','24','70','9']"
"17","['80','85','86','75','100','77','76','88','86','90']"
"16","['13','9','28','4','31','28','21','13','27','51']"
"18","['79','88','85','83','78','87','100','94','91','95']"
"15","['87','95','90','100','74','86','78','88','94','99']"
"14","['73','86','97','78','90','83','92','87','95','28']"
"13","['89','90','83','100','73','92','80','93','84','94']"
"11","['3','45','32','63','51','3','49','1','17','72']"
"12","['79','76','85','82','94','100','98','95','92','99']"
"10","['36','12','27','19','21','44','31','53','70','9']"
"9","['21','12','19','28','44']"
"7","['41','46','20','39','54']"
"8","['14','16','33','3','57','67']"
"6","['27','2','22','15','36','55']"
"4","['68','78','94','84','83','88','80','37','61','69']"
"3","['36','21','6','48','26','63','29','25','41','56']"
"5","['5','49','28','38','14','34','36','51','82']"
"1","['22','25','12','6','16','58','28','57','29','53']"
"2","['7','71','8','65','39','53','11','36','29','47']"
"72","['45','49','3','3','17','32','63']"
"71","['54','84','82','77','95','97','80','83','99']"
"69","['61','37','80','78','83','84','4','88']"
"68","['86','82','88','77','97','98']"
"70","['42','10','44','3','20','20','2','62']"
"67","['16','57','14','33','3','8']"
"66","['5','3','19','41','36','12','36','35','5','9']"
"64","['10','22','43','53','3','34','61']"
"63","['4','80','73','85','84','97']"
"62","['3','42','77','73','89','76','93','97']"
"65","['48','31','30','50','22','26','12','21','60']"
"60","['87','85','91','93','96']"
"59","['43','64','49','18','50','34','39','37','7']"
"61","['100','93','83','94','85','90','99']"
"56","['41','6','48','26','21','36','25','29','3','63']"
"55","['27','22','15','2','36','6']"
"58","['90','84','94','82','97','86','93','100','31','98']"
"52","['90','79','78','83','74','94','87','89','99','95']"
"49","['79','86','92','88','81','82','84','87','73','96']"
"53","['58','57','25','12','16','22','29','1','6']"
"48","['62','35','40','26','45','49','69']"
"57","['67','46','5','59','15','67','42','32','14','8']"
"51","['82','28','4','13','13','27','28','21','16','9']"
"54","['87','79','76','88','99']"
"50","['34','74','75','77','73','80','99']"
"47","['29','65','36','39','11','53','8']"
"46","['89','84','79','90','93','78','83','99']"
"45","['42','2','43','39','12','22','27','44','68','3']"
"41","['89','87','88','79','80','82','98','78','90','99']"
"44","['81','77','89']"
"42","['65','61','61','1','23','63','30','28','68']"
"38","['32','69','25','10','71','37','10','27','42','54']"
"43","['3','67','25','59','4','30','52','58','48','20']"
"40","['94','91','73','84','93','100','96']"
"37","['73','84','89','91','95','100','77','98']"
"39","['95','83','97','96','90','100','98']"
"35","['90','79','78','85','88','84','87','95']"
"36","['42','26','65','29','43','3','38','10']"
"34","['86','89','85','77','96','90']"
"33","['78','84','77','93','97','87','95','85','99']"
"32","['10','25','21','17','65','46','42','1','63','7']"
"31","['36','10','48','21','48','16','41','29','7']"
"29","['48','26','98','89','80','87','90','84','95','31']"
"30","['33','87','73','95','96','85','99','83','29','34']"
"28","['89','79','83','77','82','75','98']"
"27","['100','98','79','73','83','80','97','76','80','99']"
"26","['100','98','79','89','76','77','95','97','87','34']"
"25","['85','82','86','88','90','89']"
"24","['38','4','70','14','39','7','59','10','22','42']"
"23","['13','68','10','1','63','42','41','46','20','54']"
"22","['70','61','43','7','47','27','33','34','4','73']"
"21","['65','80','74','87','92','96','51','81','84','98']"
"19","['24','12','28','21','70','50','14','51','16','9']"
"20","['30','58','52','3','48','59','86']"
"18","['79','88','85','83','78','87','100','91','95','94']"
"17","['80','85','86','75','100','77','76','86','90','88']"
"16","['31','28','95','84','80','82','74','92','82','13']"
"15","['87','90','100','74','86','78','88','94','99','95']"
"14","['84','96','61','2','89','80','27','6','78','97']"
"12","['79','76','85','82','94','100','95','92','99','98']"
"13","['89','90','83','100','73','92','80','84','94','93']"
"11","['100','84','78','94','90','86','76','83','81','95']"
"10","['26','3','38','29','43','42','36','65']"
"9","['13','12','51','14','24','50','70']"
"8","['29','36','11','39','53']"
"7","['41','21','36','48','16','29','31','48']"
"6","['16','1','29','25','12','58']"
"5","['5','49','28','38','14','34','36','82','51']"
"4","['56','32','62','39','43','27','12','44','22','94']"
"3","['12','43','27','42','44','22','39','45','68']"
"1","['91','88','95','78','89','83','92','69','51','28']"
"2","['16','63','1','68','25','43','57','31','29','71']"
"72","['90','86','91','93','92','76','86','3']"
"70","['100','73','86','81','94','90','96']"
"71","['16','1','63','43','31','29','25','57','2','68']"
"69","['40','45','35','26','49','48','62']"
"67","['91','89','88','90','85','74','73','93','81','95']"
"68","['42','39','22','27','12','44','43','3','45']"
"66","['36','86','80','83','74','91','100','96','35','5']"
"63","['82','87','83','79','97','80','98']"
"64","['83','99','94','85','90','100','93','43','34','61']"
"62","['10','2','44','20','20','70']"
"65","['36','29','42','3','38','26','10','43']"
"61","['75','89','90','93','79','88','97']"
"60","['12','30','22','31','50','48','26','21','65']"
"59","['79','97','78','83','95','99']"
"50","['34','74','75','77','73','99','80']"
"57","['67','82','89','84','100','79','90','95','88','67']"
"49","['79','86','88','81','82','84','87','73','96','92']"
"56","['100','90','82','81','86','92','79','88','100','95']"
"54","['10','63','46','41','20','13','1','23','68']"
"58","['16','1','29','25','12','6']"
"55","['14','42','1','20','65','26','38','35','16','66']"
"47","['15','67','42','5','32','29','36','11','39','53']"
"53","['39','11','8']"
"52","['84','73','82','88','77','84','98']"
"51","['36','49','38','14','34','5','5']"
"48","['94','75','85','86','73','97','81','99']"
"46","['89','84','79','90','78','83','99','93']"
"45","['3','27','44','42','43','12','22','39','68']"
"44","['93','74','78','80','89','76','95']"
"38","['10','27','88','87','79','99','76','32','10','42']"
"43","['42','38','10','3','36','29','26','65']"
"40","['82','78','83','74','85','80','90']"
"42","['39','10','14','4','7','70','22','59','24','61']"
"41","['85','81','94','92','75','91','95']"
"37","['73','84','89','91','100','77','98','95']"
"36","['50','70','67','16','44','31','14','51','55','9']"
"39","['95','83','96','90','100','98','97']"
"35","['79','78','85','88','84','87','95','90']"
"33","['78','84','77','93','87','95','85','99','97']"
"34","['84','92','75','83','87','82','94']"
"29","['10','65','42','63','17','32','46','25','1','48']"
"32","['18','43','59','37','39','50','64','34','49','21']"
"20","['30','58','52','3','48','86','59']"
"30","['87','81','78','84','89','91']"
"31","['26','95','80','89','90','87','84','29','98']"
"28","['69','78','51','92','91','1','95']"
"21","['65','80','74','87','92','51','81','84','98','96']"
"22","['61','43','7','47','27','33','34','4','73','70']"
"24","['82','61','63','61','88','77','86','68','97','38']"
"26","['100','33','30','83','73','29','99','76','95','98']"
"27","['100','79','73','83','80','97','76','80','99','98']"
"23","['42','32','71','25','37','69','38','63','46','54']"
"25","['85','82','86','90','89','88']"
"19","['21','13','27','36','13','4','12','28','51','16']"
"18","['79','88','85','83','78','87','100','95','94','91']"
"17","['84','83','95','99','81','73','86']"
"16","['82','13','89','90','93','100','73','94','83','95']"
"14","['84','96','61','2','89','80','27','6','97','78']"
"15","['79','80','83','82','75','84']"
"13","['82','82','31','28','74','16','95']"
"12","['79','76','85','82','94','100','92','99','98','95']"
"11","['100','84','78','90','86','76','83','81','95','94']"
"10","['79','80','74','82','100','77','96','99']"
"9","['50','51','67','16','31','14','55','36','70']"
"8","['11','39','53']"
"7","['80','61','78','40','83','37','4','45','84','88']"
"6","['16','29','12','1','25','58']"
"5","['38','5','14','34','49','51']"
"4","['78','90','77','96','86','82','79','97']"
"3","['86','92','76','90','72','93']"
"2","['71','84','82','80','95','77','54','83','97','99']"
"1","['88','77','98','82','79','75','69','78','83','89']"
"72","['89','100','42','74','73','98','77','96','86','86']"
"70","['94','92','86','90','98','99']"
"71","['79','77','94','88','100','90','85','74','90','97']"
"69","['20','44','70','2','20','10','48','49','35','62']"
"68","['73','100','86','76','87','74','97']"
"67","['82','79','67','100','57','84']"
"65","['100','86','82','83','80','88','91']"
"66","['26','42','14','35','20','1','55','65']"
"63","['82','87','83','79','80','98','97']"
"64","['83','84','81','82','75','87']"
"61","['22','10','7','14','59','4','70']"
"62","['48','49','35','45','40','26','100','69']"
"60","['91','92','82','97','95','93','85','42','86','98']"
"59","['30','3','58','48','52','20','86']"
"57","['85','74','91','73','93','81','90','84','82','95']"
"58","['25','1','6']"
"56","['100','90','82','81','86','79','88','100','95','92']"
"55","['95','96','89','79','78','84','93','87','99']"
"54","['94','80','85','76','92','73','91','99']"
"53","['11','39','8']"
"52","['84','73','82','77','84','98','88']"
"51","['14','34','49','5']"
"50","['34','74','75','73','99','80','77']"
"48","['25','1','10','32','46','42','17','29','65']"
"47","['67','8','15','29','32','11','39','5','36','53']"
"49","['79','86','81','82','84','87','73','96','92','88']"
"46","['89','84','79','78','83','99','93','90']"
"45","['77','83','80','91','84','73','87','92','98','99']"
"38","['84','80','95','87','74','90','99']"
"44","['96','79','92','97','81','94','98']"
"33","['100','83','88','83','90']"
"43","['12','31','22','60','30','50','48','21','29','36']"
"42","['97','89','83','84','90','74','80','98']"
"37","['76','80','96','93','94','94','97']"
"41","['85','81','92','75','91','95','94']"
"40","['77','75','100','97','89','95','99']"
"39","['95','83','90','100','98','97','96']"
"34","['80','81','73','86','100','97','97']"
"36","['97','93','20','2','10','89','62','76','73','44']"
"35","['82','84','75','83','78','85']"
"32","['93','73','88','89','86','76','97']"
"31","['88','92','86','79','74','82','77','75','82','94']"
"30","['87','81','78','84','91','89']"
"29","['63','73','75','85','94','81','97','99','86','65']"
"27","['74','92','90','88','95','87','80']"
"28","['69','78','51','91','1','95','92']"
"26","['94','87','96','82','84','92','93','97']"
"25","['85','82','90','89','88','86']"
"24","['95','94','96','73','76','87','75','85','79','98']"
"23","['25','29','57','2','16','41','1','31','10','69']"
"22","['20','75','84','83','77','85','100','80','91','94']"
"20","['97','99','83','79','95','78','30','3','58','59']"
"19","['13','90','82','93','100','89','83','94','73','51']"
"18","['80','75','92','86','82','97']"
"21","['49','43','59','50','18','34','39','32','64']"
