"ID","Table"
"88","['7','51','85','85','73','3','81','30','64','13','38','46','20','48','83','78','56','23','87']""87","['67','28','7','70','1','63','10','21','50','49','1','31','29','76','22','45','4','23','23','86']""86","['75','4','61','13','72','3','83','60','47','50','78','87','36','63','67','5','39','36','87']""85","['79','22','47','35','21','62','38','12','72','11','53','31','82','44','2','65','33','42','9']""84","['37','36','27','15','2','32','78','64','40','28','67','16','86','49','1','63','49','36','68','88']""83","['72','40','5','29','39','33','74','12','70','65','79','14','17','6','86','14','81','49','64','87']""82","['11','7','10','33','31','44','1','30','57','62','32','46','41','27','54','7','34','71','40','86']""81","['62','39','75','68','75','65','35','32','37','35','44','70','76','33','27','56','61','29','8','87']""79","['75','26','64','27','42','76','59','52','58','8','85','82','19','40','24','59','1','72','34','86']""80","['11','68','66','67','73','18','48','83','68','15','67','65','52','32','72','66','64','73','39','88']""77","['81','85','24','75','69','84','64','59','85','85','74','15','35','62','32','56','59','6','44','86']""78","['29','69','76','49','32','48','54','41','8','32','12','70','72','56','65','66','33','4','6','80']""76","['23','29','42','46','75','82','86','72','24','50','54','12','75','80','70','37','67','25','22','9']""74","['62','51','44','32','81','64','29','70','23','43','77','64','7','37','1','22','7','26','77','9']""75","['32','86','61','67','50','66','32','70','65','65','54','73','25','52','49','42','64','83','9']""73","['65','27','27','29','75','53','42','43','12','45','77','76','12','29','69','23','44','76','5','88']""72","['67','46','41','49','46','66','70','5','14','51','62','11','33','81','28','14','22','13','41','86']""71","['46','34','5','32','12','11','62','77','22','48','30','78','73','87','73','52','2','61','38','87']""70","['37','20','64','24','45','12','45','35','40','33','23','63','10','75','53','47','27','52','67','88']""69","['8','21','35','36','61','18','61','11','79','50','7','44','17','37','85','72','17','78','85']""68","['77','57','34','71','59','73','11','14','41','62','47','54','50','84','63','48','21','17','85']""67","['41','26','20','62','55','4','62','57','52','1','19','56','7','7','61','6','12','66','80']""66","['53','65','83','87','51','46','63','12','5','51','59','52','53','25','80','29','53','5','27','9']""65","['14','42','83','19','63','49','31','58','50','53','83','33','79','23','22','55','78','2','49','85']""64","['81','55','32','35','55','40','43','53','19','38','68','5','16','75','3','53','21','59','85']""63","['35','40','31','62','36','50','82','79','4','36','38','13','43','46','22','10','35','49','74','83']""60","['53','80','80','71','11','52','43','11','5','78','26','84','51','45','62','81','28','31','47','88']""61","['23','30','58','2','53','6','80','37','50','26','79','62','32','21','50','54','31','18','80','87']""62","['61','74','35','66','59','27','77','72','44','7','58','65','46','42','84','31','46','35','41','86']""59","['84','18','31','18','79','63','28','62','29','71','39','14','78','30','44','11','42','75','52','88']""58","['2','35','26','38','37','42','72','29','71','25','69','23','63','83','14','25','12','29','61','87']""57","['29','64','76','55','55','48','15','13','63','84','38','16','3','2','84','35','44','72','84','88']""56","['78','34','7','46','73','5','13','71','51','80','29','46','85','88','49','67','38','33','61','88']""54","['79','41','6','77','48','43','28','6','52','85','3','23','85','81','77','51','51','43','6','87']""55","['19','29','2','24','10','13','25','29','39','50','81','74','7','60','84','59','54','70','88']""52","['2','85','49','44','19','81','29','83','68','16','69','76','39','22','71','4','27','18','48','88']""53","['37','24','7','33','81','80','57','48','29','52','68','82','87','27','7','50','37','1','9','9']""51","['35','34','40','47','13','24','87','16','44','63','59','1','78','2','73','67','73','45','44','9']""50","['20','32','38','83','28','34','44','14','41','45','62','4','22','14','46','76','65','15','8','84']""49","['41','43','2','80','52','74','69','24','43','68','84','42','15','14','84','60','62','58','56','88']""47","['44','13','7','39','4','50','53','59','78','76','76','54','32','64','45','6','1','57','63','78']""48","['51','40','59','24','75','35','50','66','54','42','5','13','25','76','35','58','62','5','34','87']""45","['82','34','14','80','8','87','19','84','82','74','5','78','63','65','72','82','37','70','38','88']""44","['35','45','21','56','17','45','54','35','34','53','69','47','26','32','42','68','74','26','46','83']""43","['54','16','55','45','8','46','42','53','38','1','10','82','30','8','67','53','10','42','24','9']""42","['37','78','31','13','31','47','66','56','37','67','82','16','41','84','84','58','1','6','43','86']""46","['31','23','75','36','82','36','51','86','47','11','55','61','7','20','29','68','67','65','71','87']""41","['87','84','3','87','21','42','56','62','31','59','16','42','11','22','8','54','57','1','42','88']""38","['33','5','59','43','85','30','79','7','30','43','30','18','23','42','60','8','28','59','54','88']""40","['47','53','85','84','83','2','71','68','18','58','1','59','83','50','3','74','84','70','81','9']""39","['22','70','6','62','55','27','70','76','43','58','77','55','65','24','4','13','56','72','9']""37","['10','67','49','30','36','12','59','43','58','42','69','5','19','7','72','63','26','30','22','77']""36","['25','59','79','70','74','10','42','30','60','3','12','55','6','49','38','14','79','69','6','85']""35","['52','71','25','52','71','2','42','2','54','71','50','23','30','72','24','2','75','76','36','87']""34","['11','23','66','7','42','33','40','42','43','29','70','49','59','31','16','58','38','58','36','73']""33","['6','71','26','75','70','84','45','72','55','42','85','50','74','67','53','37','11','32','54','86']""32","['35','10','43','4','35','48','33','43','8','30','19','38','2','49','79','48','46','64','7','87']""31","['54','47','14','35','73','85','24','38','43','11','11','12','26','22','56','4','34','28','69','9']""30","['75','45','74','67','74','52','12','48','51','12','7','7','34','83','79','22','7','78','44','87']""29","['21','37','54','85','12','56','33','19','78','18','18','84','20','30','65','85','51','62','67','86']""28","['73','86','31','40','52','69','46','60','17','80','72','69','2','11','11','52','87','22','56','9']""27","['20','21','44','27','58','30','16','5','67','32','17','23','78','16','17','86','37','5','86']""26","['45','44','78','3','46','51','69','6','15','13','38','7','56','55','81','25','7','62','40','81']""24","['3','54','49','28','44','56','14','36','74','63','17','55','20','58','58','41','20','38','86']""25","['55','58','1','20','28','83','47','51','20','31','60','65','68','66','12','30','33','37','14','85']""23","['50','37','40','38','34','31','53','28','79','59','46','12','64','75','82','7','82','83','6','83']""22","['26','11','29','10','10','27','44','83','8','74','44','25','20','67','7','18','77','77','83','9']""20","['6','16','11','11','78','19','24','61','27','76','77','44','82','67','83','48','35','85','83','86']""19","['51','73','18','46','17','2','11','50','31','60','79','62','60','59','3','13','41','38','85']""17","['56','39','53','38','56','28','12','75','57','23','39','3','20','46','69','68','33','37','55','77']""18","['65','45','41','60','48','73','16','69','68','74','41','35','39','69','79','6','11','6','60','80']""16","['64','65','46','67','10','63','68','77','6','20','1','28','56','52','29','59','76','5','46','85']""15","['51','11','67','39','6','51','52','72','32','32','58','49','4','81','53','5','29','22','87']""14","['35','82','32','18','13','65','38','36','45','43','42','65','13','65','5','82','26','63','58','88']""13","['30','39','24','18','7','56','33','31','36','64','14','75','3','79','78','43','64','51','15','88']""12","['13','29','38','79','49','29','34','71','73','47','7','25','23','47','10','48','67','66','53','80']""10","['79','67','65','85','58','42','1','1','26','53','86','59','75','22','79','66','56','41','84','86']""11","['1','56','34','53','15','69','22','58','46','86','88','18','67','6','53','63','64','27','88']""8","['4','76','27','38','78','30','53','64','64','29','22','33','1','25','40','41','14','48','55','88']"
"9","['24','44','35','47','73','40','2','87']"
"7","['51','27','18','70','85','65','28','88','70','56','70','85','79','73','9','18','30','79','11','9']""6","['7','50','19','16','14','25','3','66','51','23','36','3','82','86','52','48','22','21','83','9']""5","['60','48','41','71','35','42','70','63','71','53','26','12','74','75','57','23','8','77','43','8']""3","['34','40','67','58','55','12','57','47','67','40','13','42','2','68','43','27','17','13','17','76']""4","['27','40','77','61','3','12','56','57','2','83','60','18','41','79','80','3','86','57','88']""2","['21','71','72','40','26','21','3','32','22','77','38','83','19','51','54','84','61','29','81','86']""1","['31','8','55','76','77','13','14','79','81','30','30','69','8','81','32','45','31','26','15','88']""21","['47','3','73','69','28','52','8','81','57','62','48','33','80','55','76','58','47','74','54','87']"
"88","['30','77','76','32','1','31','81']"
"87","['48','55','33','3','58','21','81']"
"86","['40','38','51','2','81','61','83']"
"85","['65','20','63','1','16','10','76']"
"84","['64','28','16','49','36','68','23','50','4','31','44','8','14','65','34','20','41','22','78']""82","['33','31','44','1','57','62','32','27','7','86','78','23','5','20','13','29','47','54','40','7']""81","['39','68','56','29','87','6','67','21','35','7','44','38','51','26','62','76']""83","['64','43','53','35','56','42','32','40','38','28','23','31','82','12','79']"
"80","['60','67','13','34','7','29','23','12','10','71']"
"79","['75','64','27','42','76','58','24','59','34','86','46','11','54','70','67','71','49','19','26','8']""78","['29','48','32','4','40','15','1','83','41','64','44','39','6','47','50','56']""76","['72','24','12','75','33','71','47','23','22','17','13','40','43','3','2','42','82']""77","['75','74','59','6','79','85','10','28','20','57','69','68','17','12','33','3','85']""75","['32','32','65','54','73','25','49','64','83','9','85','71','71','88','23','22','80','76','42','86']""74","['62','51','64','29','23','43','64','37','22','7','9','35','61','11','86','75','55','52','42','77']""73","['65','27','29','44','76','32','84','80','68','42','59','58','16','34','70','40','31','76']""72","['46','66','5','14','33','28','14','13','41','86','56','69','24','35','32','19','84','85','62','67']""71","['34','32','12','38','86','1','35','44','11','7','13','67','80','10','60','20','73']""70","['37','64','12','45','35','23','53','47','27','67','65','72','11','77','15','42','24','45','33','75']""68","['57','34','73','14','62','47','63','48','17','55','37','38','79','69','9','72','46','8','54','77']""69","['35','36','18','61','79','7','17','78','85','71','32','53','62','16','42','74','5','2','8','85']""66","['53','65','46','51','59','53','25','53','5','27','9','7','71','32','74','77','7','1','81','87']""67","['55','62','57','19','56','7','6','12','66','48','32','65','33','87','39','68','63','52','26','7']"
